year,funder,source,grant,grantNo
2022, Ministry of Education of Korea, Korean Government Scholarship for Study Abroad, 45th Cohort, N/A
2021, Minsitry of Education of Korea, Korean Gvoernment Scholarhsip for Study Abroad, 45th Cohort, N/A
